Centre Name,Operating Hours,CHP Operating Hours,AAC Operating Hours,Address,Postal Code,Latitude,Longitude,Division 2025,Category,longitude,latitude
West Coast Wellness Club (West Coast Wellness Centre),"Every Monday,  9:00am - 12:00pm","Every Monday,  9:00am - 12:00pm",,"728 Clementi West Street 2, #01-412, 120728",120728,1.305202068,103.7638334,West Coast,CHP,103.7638334,1.305202068
Lions Befrienders AAC @Clementi 420,"AAC Operating Hours:
Mon - Fri: 9.00am - 6.00pm

CHP Operating Hours:
Every Tuesday,  9:00am - 12:00pm","
Every Tuesday,  9:00am - 12:00pm","
Mon - Fri: 9.00am - 6.00pm

","420A Clementi Avenue 1, #02-03, 121420",121420,1.309733312,103.7686373,Clementi,AAC & CHP,103.7686373,1.309733312
Trivelis Residents' Network,"Every 1st and 3rd Tuesday of the month,  2:00pm - 5:00pm","Every 1st and 3rd Tuesday of the month,  2:00pm - 5:00pm",,"311B Clementi Avenue 4, #01-171, 122311",122311,1.319446691,103.7656494,Bukit Timah,CHP,103.7656494,1.319446691
FaithActs (1 Dover Road),"Every 1st and 3rd Friday of the month,  9:00am - 12:00pm","Every 1st and 3rd Friday of the month,  9:00am - 12:00pm",,"1 Dover Road, 130001",130001,1.302529947,103.7832717,Telok Blangah,CHP,103.7832717,1.302529947
St. Andrew's Active Ageing Centre (Dover),Mon - Fri: 9.00am - 6.00pm | Sat: 9.00am - 1.00pm | Closed on Sun & Public Holiday,,Mon - Fri: 9.00am - 6.00pm | Sat: 9.00am - 1.00pm | Closed on Sun & Public Holiday,"4 Dover Road, 130004",130004,1.303407683,103.783274,Telok Blangah,AAC,103.783274,1.303407683
FaithActs (13 Dover Close East),"Every 2nd and 4th Friday of the month ,  9:00am - 12:00pm","Every 2nd and 4th Friday of the month ,  9:00am - 12:00pm",,"13 Dover Close East, #01-212, 130013",130013,1.305370112,103.7860795,Telok Blangah,CHP,103.7860795,1.305370112
FaithActs (Margaret Drive),"AAC Operating Hours:
Mon - Fri: 9.00am - 6.00pm | Closed on Sat, Sun & Public Holiday

CHP Operating Hours:
Every 1st and 3rd Wednesday of the month,  9:00am - 12:00pm","
Every 1st and 3rd Wednesday of the month,  9:00am - 12:00pm","
Mon - Fri: 9.00am - 6.00pm | Closed on Sat, Sun & Public Holiday

","40 Margaret Drive, #01-07, 140040",140040,1.296458426,103.8062076,Queenstown,AAC & CHP,103.8062076,1.296458426
Fei Yue Active Ageing Centre (Commonwealth),"AAC Operating Hours:
Mon - Fri: 2.00pm - 6.00pm

CHP Operating Hours:
Every 2nd and 4th Wednesday of the month,  2:00pm - 5:00pm","
Every 2nd and 4th Wednesday of the month,  2:00pm - 5:00pm","
Mon - Fri: 2.00pm - 6.00pm

","107 Commonwealth Crescent, #01-230, 140107",140107,1.307862447,103.7993123,Buona Vista,AAC & CHP,103.7993123,1.307862447
FaithActs (Commonwealth Crescent),"Every 1st and 3rd Tuesday of the month,  9:00am - 12:00pm","Every 1st and 3rd Tuesday of the month,  9:00am - 12:00pm",,"118 Commonwealth Crescent, #01-23, 140118",140118,1.306751329,103.8006934,Buona Vista,CHP,103.8006934,1.306751329
Queenstown Multi-Service Centre,"Every 3rd Wednesday of the month,  2:00pm - 5:00pm |
Every 1st Saturday of each quarter (Strictly by appointment), 9:00am - 12:00pm","Every 3rd Wednesday of the month,  2:00pm - 5:00pm |
Every 1st Saturday of each quarter (Strictly by appointment), 9:00am - 12:00pm",,"150 Mei Chin Street, 140150",140150,1.295364329,103.8038201,Queenstown,CHP,103.8038201,1.295364329
Happy Village @ Mei Ling,"Every Wednesday,  2:00pm - 5:00pm","Every Wednesday,  2:00pm - 5:00pm",,"160 Mei Ling Street, #01-293, 140160",140160,1.292096907,103.8042298,Queenstown,CHP,103.8042298,1.292096907
PCS Cedar Tree AAC @Strathmore 61,"AAC Operating Hours:
Mon - Fri: 8.30am - 6.00pm | (Closed for lunch from 12.00pm - 1.00 pm)

CHP Operating Hours:
Every Monday,  2:00pm - 5:00pm","
Every Monday,  2:00pm - 5:00pm","
Mon - Fri: 8.30am - 6.00pm | (Closed for lunch from 12.00pm - 1.00 pm)

","61 Strathmore Avenue, #01-02, 141061",141061,1.29399775,103.8109792,Henderson-Dawson,AAC & CHP,103.8109792,1.29399775
Lions Befrienders AAC @Mei Ling 150,"AAC Operating Hours:
Mon - Fri: 9.00am - 6.00pm

CHP Operating Hours:
Every Thursday,  9:00am - 12:00pm","
Every Thursday,  9:00am - 12:00pm","
Mon - Fri: 9.00am - 6.00pm

","150 Mei Ling Street, #01-53, 141150",141150,1.294903079,103.8036993,Queenstown,AAC & CHP,103.8036993,1.294903079
FaithActs (Commonwealth Drive),"AAC Operating Hours:
Mon - Fri: 9.00am - 6.00pm | Closed on Sat, Sun & Public Holiday

CHP Operating Hours:
Every 2nd and 4th Tuesday of the month ,  9:00am - 12:00pm","
Every 2nd and 4th Tuesday of the month ,  9:00am - 12:00pm","
Mon - Fri: 9.00am - 6.00pm | Closed on Sat, Sun & Public Holiday

","50 Commonwealth Drive, #01-506, 142050",142050,1.301129092,103.797123,Buona Vista,AAC & CHP,103.797123,1.301129092
Precious Active Ageing Centre (SkyTerrace@Dawson),"AAC Operating Hours:
Mon - Fri: 8.30am - 6.00pm

CHP Operating Hours:
Every 2nd and 4th Tuesday of the month,  2:00pm - 5:00pm","
Every 2nd and 4th Tuesday of the month,  2:00pm - 5:00pm","
Mon - Fri: 8.30am - 6.00pm

","93 Dawson Road, #01-02, 142093",142093,1.29499227,103.8117965,Henderson-Dawson,AAC & CHP,103.8117965,1.29499227
Lions Befrienders AAC @Ghim Moh 18,"AAC Operating Hours:
Mon - Fri: 9.00am - 6.00pm

CHP Operating Hours:
Every Thursday,  2:00pm - 5:00pm","
Every Thursday,  2:00pm - 5:00pm","
Mon - Fri: 9.00am - 6.00pm

","18 Ghim Moh Road, #01-115, 270018",270018,1.310150547,103.7870824,Ulu Pandan,AAC & CHP,103.7870824,1.310150547
Fei Yue Active Ageing Centre (Holland Close),"AAC Operating Hours:
Mon - Fri: 9.30am - 6.00pm

CHP Operating Hours:
Every Tuesday,  2:00pm - 5:00pm","
Every Tuesday,  2:00pm - 5:00pm","
Mon - Fri: 9.30am - 6.00pm

","1 Holland Close, #02-115, 271001",271001,1.309219378,103.7967324,Buona Vista,AAC & CHP,103.7967324,1.309219378
Active Global Active Ageing Centre (CARE) @ Ghim Moh Edge,"AAC Operating Hours:
Mon - Sun: 8.00am - 7.00pm

CHP Operating Hours:
Every 4th Monday of the month,  2:30pm - 5:00pm
Every 2nd Thursday of the month, 2:00pm - 5:00pm","
Every 4th Monday of the month,  2:30pm - 5:00pm
Every 2nd Thursday of the month, 2:00pm - 5:00pm","
Mon - Sun: 8.00am - 7.00pm

","31A Ghim Moh Link, #01-11, 272031",272031,1.309328822,103.7843542,Ulu Pandan,AAC & CHP,103.7843542,1.309328822
TRANS FOCUS Active Ageing Centre,Mon - Fri: 9.00am - 5:00pm,,Mon - Fri: 9.00am - 5:00pm,"3 Toh Yi Drive, #01-189, 590003",590003,1.338774304,103.7752542,Bukit Timah,AAC,103.7752542,1.338774304
PCS Cedar Tree AAC @Toh Yi 21,"AAC Operating Hours:
Mon - Fri: 8.30am - 6.00pm | (Closed for lunch from 12.00pm - 1.00pm)

CHP Operating Hours:
Every Thursday,  9:00am - 12:00pm","
Every Thursday,  9:00am - 12:00pm","
Mon - Fri: 8.30am - 6.00pm | (Closed for lunch from 12.00pm - 1.00pm)

","21 Toh Yi Drive, #02-601, 590021",590021,1.338131993,103.7719863,Bukit Timah,AAC & CHP,103.7719863,1.338131993
PPH Community Services Centre,"Every 2nd and 4th Monday of the month,  2:00pm - 5:00pm","Every 2nd and 4th Monday of the month,  2:00pm - 5:00pm",,"44 Teban Gardens Road, #01-407, 600044",600044,1.320753918,103.7416002,Ayer Rajah,CHP,103.7416002,1.320753918
Loving Heart Multi-Service Centre,"AAC Operating Hours:
Mon - Fri: 9.00am - 5.30pm | Sat: 9.00am - 1.00pm

CHP Operating Hours:
Every 1st and 3rd Monday of the month,  9:00am - 12:00pm","
Every 1st and 3rd Monday of the month,  9:00am - 12:00pm","
Mon - Fri: 9.00am - 5.30pm | Sat: 9.00am - 1.00pm

","210 Jurong East Street 21, #01-389, 600210",600210,1.338894938,103.7385551,Yuhua,AAC & CHP,103.7385551,1.338894938
Loving Heart Active Ageing Centre (229 Jurong East),"AAC Operating Hours:
Mon - Fri: 9.00am - 5.30pm | Sat: For events only | Closed on Sun & Public Holiday

CHP Operating Hours:
Every 2nd and 4th Wednesday of the month,  9:00am - 12:00pm","
Every 2nd and 4th Wednesday of the month,  9:00am - 12:00pm","
Mon - Fri: 9.00am - 5.30pm | Sat: For events only | Closed on Sun & Public Holiday

","229 Jurong East Street 21, #01-701 , 600229",600229,1.341830557,103.7380203,Yuhua,AAC & CHP,103.7380203,1.341830557
Yuhua Zone 6 Residents' Network,"Every 2nd and 4th Tuesday of the month,  2:00pm - 5:00pm","Every 2nd and 4th Tuesday of the month,  2:00pm - 5:00pm",,"246 Jurong East Street 24, #01-48, 600246",600246,1.341776588,103.7400573,Yuhua,CHP,103.7400573,1.341776588
Kampung Senang Green and Healthy Living Centre,"Every 2nd Thursday of the month,  9:30am - 12:30pm","Every 2nd Thursday of the month,  9:30am - 12:30pm",,"324 Jurong East Street 31   #01-130, 600324",600324,1.348648993,103.729869,Jurong Central,CHP,103.729869,1.348648993
Loving Heart Active Ageing Centre (318A Jurong East),"AAC Operating Hours:
Mon - Fri: 9.00am - 5.30pm

CHP Operating Hours:
Every Monday,  2:00pm - 5:00pm","
Every Monday,  2:00pm - 5:00pm","
Mon - Fri: 9.00am - 5.30pm

","318A Jurong East Avenue 1, #02-308, 601318",601318,1.347623525,103.7310091,Jurong Central,AAC & CHP,103.7310091,1.347623525
St Luke's ElderCare Active Ageing Centre (Care) @ Ayer Rajah,"AAC Operating Hours:
Mon - Fri: 9.00am - 6.00pm | Closed on Sat, Sun & Public Holiday

CHP Operating Hours:
Every Thursday,  9:00am - 12:00pm","
Every Thursday,  9:00am - 12:00pm","
Mon - Fri: 9.00am - 6.00pm | Closed on Sat, Sun & Public Holiday

","150A Pandan Gardens, #01-01, 609342",609342,1.32129337,103.7476489,Ayer Rajah,AAC & CHP,103.7476489,1.32129337
